Designator,Mid X,Mid Y,Rotation,Layer
JSL1_8,37.31,-41.94,0.0,top
JSL1_7,62.71,-41.94,0.0,top
JSL1_6,11.89,-57.66,180.0,top
JSL1_5,37.29,-57.66,180.0,top
JSL1_4,11.91,-41.94,0.0,top
JSL1_3,62.69,-57.66,180.0,top
JSL1_2,88.11,-41.94,0.0,top
JSL1,88.09,-57.66,180.0,top
L1_8,64.5442,-88.9734,270.0,top
L1_7,89.9442,-88.9734,270.0,top
L1_6,60.8558,-10.6266,90.0,top
L1_5,35.4558,-10.6266,90.0,top
L1_4,39.1442,-88.9734,270.0,top
L1_3,86.2558,-10.6266,90.0,top
L1_2,13.7442,-88.9734,270.0,top
L1,10.0558,-10.6266,90.0,top
LED1_8,70.2284,-5.8806,270.0,top
LED1_7,80.5716,-93.7194,90.0,top
LED1_6,95.6284,-5.8806,270.0,top
LED1_5,19.4284,-5.8806,270.0,top
LED1_4,44.8284,-5.8806,270.0,top
LED1_3,4.3716,-93.7194,90.0,top
LED1_2,55.1716,-93.7194,90.0,top
LED1,29.7716,-93.7194,90.0,top
LVSSA1_8,86.058,-67.4136,180.0,top
LVSSA1_7,90.142,-32.1864,0.0,top
LVSSA1_6,39.342,-32.1864,0.0,top
LVSSA1_5,9.858,-67.4136,180.0,top
LVSSA1_4,60.658,-67.4136,180.0,top
LVSSA1_3,64.742,-32.1864,0.0,top
LVSSA1_2,13.942,-32.1864,0.0,top
LVSSA1,35.258,-67.4136,180.0,top
MCU1_8,9.9088,-74.8382,45.0,top
MCU1_7,64.6912,-24.7618,225.0,top
MCU1_6,13.8912,-24.7618,225.0,top
MCU1_5,60.7088,-74.8382,45.0,top
MCU1_4,86.1088,-74.8382,45.0,top
MCU1_3,35.3088,-74.8382,45.0,top
MCU1_2,90.0912,-24.7618,225.0,top
MCU1,39.2912,-24.7618,225.0,top
RGB1_8,82.8776,-37.368,180.0,top
RGB1_7,17.1224,-62.232,0.0,top
RGB1_6,32.0776,-37.368,180.0,top
RGB1_5,93.3224,-62.232,0.0,top
RGB1_4,67.9224,-62.232,0.0,top
RGB1_3,57.4776,-37.368,180.0,top
RGB1_2,42.5224,-62.232,0.0,top
RGB1,6.6776,-37.368,180.0,top
RGB2_8,67.5868,-37.5458,0.0,top
RGB2_7,42.1868,-37.5458,0.0,top
RGB2_6,32.4132,-62.0542,180.0,top
RGB2_5,16.7868,-37.5458,0.0,top
RGB2_4,57.8132,-62.0542,180.0,top
RGB2_3,83.2132,-62.0542,180.0,top
RGB2_2,92.9868,-37.5458,0.0,top
RGB2,7.0132,-62.0542,180.0,top
RLED1_8,29.6446,-96.6744,0.0,top
RLED1_7,70.3554,-2.9256,180.0,top
RLED1_6,95.7554,-2.9256,180.0,top
RLED1_5,4.2446,-96.6744,0.0,top
RLED1_4,55.0446,-96.6744,0.0,top
RLED1_3,80.4446,-96.6744,0.0,top
RLED1_2,19.5554,-2.9256,180.0,top
RLED1,44.9554,-2.9256,180.0,top
RPD1_8,80.1906,-53.596,270.0,top
RPD1_7,54.7906,-53.596,270.0,top
RPD1_6,29.3906,-53.596,270.0,top
RPD1_5,3.9906,-53.596,270.0,top
RPD1_4,19.8094,-46.004,90.0,top
RPD1_3,45.2094,-46.004,90.0,top
RPD1_2,70.6094,-46.004,90.0,top
RPD1,96.0094,-46.004,90.0,top
RPU1_8,96.0656,-53.596,90.0,top
RPU1_7,3.9344,-46.004,270.0,top
RPU1_6,70.6656,-53.596,90.0,top
RPU1_5,80.1344,-46.004,270.0,top
RPU1_4,54.7344,-46.004,270.0,top
RPU1_3,29.3344,-46.004,270.0,top
RPU1_2,19.8656,-53.596,90.0,top
RPU1,45.2656,-53.596,90.0,top
RPUBOOT1_8,84.0224,-12.1204,0.0,top
RPUBOOT1_7,58.6224,-12.1204,0.0,top
RPUBOOT1_6,41.3776,-87.4796,180.0,top
RPUBOOT1_5,66.7776,-87.4796,180.0,top
RPUBOOT1_4,15.9776,-87.4796,180.0,top
RPUBOOT1_3,7.8224,-12.1204,0.0,top
RPUBOOT1_2,33.2224,-12.1204,0.0,top
RPUBOOT1,92.1776,-87.4796,180.0,top
RPUUSB1_8,31.6258,-93.5248,270.0,top
RPUUSB1_7,68.3742,-6.0752,90.0,top
RPUUSB1_6,82.4258,-93.5248,270.0,top
RPUUSB1_5,93.7742,-6.0752,90.0,top
RPUUSB1_4,6.2258,-93.5248,270.0,top
RPUUSB1_3,17.5742,-6.0752,90.0,top
RPUUSB1_2,57.0258,-93.5248,270.0,top
RPUUSB1,42.9742,-6.0752,90.0,top
RSCL1_8,54.6328,-26.2664,90.0,top
RSCL1_7,70.7672,-73.3336,270.0,top
RSCL1_6,45.3672,-73.3336,270.0,top
